Day,Month,Year,Hour,Min,Sec,mode,Time,BBBV,BBBVs,style,cell0,cell1,cell2,cell3,cell4,cell5,cell6,cell7,cell8,Lcl,Rcl,Dcl,Leff,Reff,Deff,Openings,Islands,Path,GZiNi,HZiNi
17,12,2023,19,55,31,BEG,14.63,14,0.95,Flag,26,15,9,3,0,1,0,0,0,11,3,4,8,3,3,2,3,1041,11,12
17,12,2023,19,56,8,BEG,17.02,20,1.17,NF,13,27,11,3,0,0,0,0,0,23,0,0,21,0,0,1,4,1271,16,18
17,12,2023,19,56,41,BEG,23.58,17,0.72,Flag,18,21,11,2,2,0,0,0,0,15,3,5,14,3,4,2,3,1208,15,17
17,12,2023,19,57,21,BEG,19.78,21,1.06,NF,17,18,15,4,0,0,0,0,0,25,0,0,24,0,0,2,1,1072,13,15
17,12,2023,19,58,21,BEG,13.72,12,0.87,NF,22,18,11,2,1,0,0,0,0,17,0,0,16,0,0,3,2,863,9,10
17,12,2023,19,58,51,BEG,18.92,14,0.73,NF,17,20,11,5,1,0,0,0,0,22,0,0,22,0,0,4,6,1040,14,14
17,12,2023,19,59,16,BEG,10.61,14,1.31,NF,21,19,9,3,2,0,0,0,0,18,0,0,16,0,0,2,2,528,11,12
17,12,2023,20,0,37,BEG,26.22,22,0.83,Flag,15,21,15,3,0,0,0,0,0,15,4,8,14,4,6,3,2,1731,16,19
17,12,2023,20,3,5,BEG,19.99,18,0.90,Flag,18,19,13,4,0,0,0,0,0,13,4,4,12,4,3,3,2,1086,14,15
18,12,2023,18,57,35,BEG,18.28,13,0.71,Flag,21,20,10,3,0,0,0,0,0,9,4,9,9,4,5,3,4,900,11,11
18,12,2023,18,57,55,BEG,17.52,14,0.79,Flag,24,11,13,3,3,0,0,0,0,14,3,3,14,3,3,2,3,825,12,14
18,12,2023,18,58,55,BEG,48.73,18,0.36,Flag,15,26,10,3,0,0,0,0,0,7,4,12,7,4,7,3,3,1199,13,15
18,12,2023,18,59,32,BEG,35.12,19,0.54,Flag,17,20,12,5,0,0,0,0,0,17,3,7,16,3,4,4,4,1531,14,15
18,12,2023,19,36,59,BEG,18.84,21,1.11,Flag,16,22,14,2,0,0,0,0,0,24,4,13,22,3,5,3,4,1417,15,17
18,12,2023,19,37,33,BEG,17.75,15,0.84,Flag,20,18,11,5,0,0,0,0,0,18,4,1,16,3,1,2,2,922,10,10
18,12,2023,19,37,44,BEG,9.14,7,0.76,Flag,26,16,8,3,1,0,0,0,0,10,1,2,9,1,1,3,2,485,7,7
18,12,2023,19,38,46,BEG,11.83,9,0.76,NF,22,19,9,2,1,1,0,0,0,19,0,0,17,0,0,3,3,949,9,9
18,12,2023,19,39,18,BEG,16.24,12,0.73,Flag,15,26,11,2,0,0,0,0,0,18,1,4,16,1,3,5,4,834,12,12
18,12,2023,19,39,57,BEG,14.92,16,1.07,Flag,19,15,16,3,1,0,0,0,0,9,4,10,9,4,7,3,3,799,13,14
18,12,2023,19,40,35,BEG,21.84,23,1.05,Flag,15,18,16,5,0,0,0,0,0,22,2,5,21,2,4,2,2,1135,16,19
18,12,2023,19,41,15,BEG,13.41,10,0.74,Flag,20,18,14,2,0,0,0,0,0,5,4,9,5,4,5,3,3,869,10,9
18,12,2023,19,42,1,BEG,21.68,34,1.56,Flag,11,28,11,4,0,0,0,0,0,9,10,15,8,9,12,2,1,1167,20,21
18,12,2023,19,42,27,BEG,16.70,11,0.65,Flag,23,19,6,6,0,0,0,0,0,7,6,6,7,5,4,1,1,1416,10,11
18,12,2023,19,42,52,BEG,13.56,15,1.10,Flag,16,24,9,5,0,0,0,0,0,17,3,5,16,2,3,3,4,929,13,14
18,12,2023,19,43,45,BEG,18.33,24,1.30,Flag,11,28,10,5,0,0,0,0,0,14,5,9,13,5,8,4,2,1198,17,17
